external_id,title,description,category,state,eligibility,benefits,benefit_type,status,ministry,max_benefit,application_deadline,website_url
seed-pm-kisan-income-karnataka,PM-Kisan Income Support - Karnataka,Direct income support for eligible farmer families to help meet seasonal agricultural and household expenses. This record is tailored for applicants in Karnataka and keeps the same frontend-ready structure expected by the app.,Agriculture,Karnataka,Small and marginal farmer families with valid land records and Aadhaar-linked bank accounts.,"{""Income support installment"",""DBT transfer"",""Seasonal cash flow assistance""}",Direct Cash,active,Ministry of Agriculture and Farmers Welfare,"Rs. 6,000 per year",Open throughout the year,https://www.india.gov.in/pm-kisan-income-support/karnataka
seed-pm-kisan-income-kerala,PM-Kisan Income Support - Kerala,Direct income support for eligible farmer families to help meet seasonal agricultural and household expenses. This record is tailored for applicants in Kerala and keeps the same frontend-ready structure expected by the app.,Agriculture,Kerala,Small and marginal farmer families with valid land records and Aadhaar-linked bank accounts.,"{""Income support installment"",""DBT transfer"",""Seasonal cash flow assistance""}",Direct Cash,active,Ministry of Agriculture and Farmers Welfare,"Rs. 6,000 per year",Open throughout the year,https://www.india.gov.in/pm-kisan-income-support/kerala
seed-pm-kisan-income-madhya-pradesh,PM-Kisan Income Support - Madhya Pradesh,Direct income support for eligible farmer families to help meet seasonal agricultural and household expenses. This record is tailored for applicants in Madhya Pradesh and keeps the same frontend-ready structure expected by the app.,Agriculture,Madhya Pradesh,Small and marginal farmer families with valid land records and Aadhaar-linked bank accounts.,"{""Income support installment"",""DBT transfer"",""Seasonal cash flow assistance""}",Direct Cash,active,Ministry of Agriculture and Farmers Welfare,"Rs. 6,000 per year",Open throughout the year,https://www.india.gov.in/pm-kisan-income-support/madhya-pradesh
seed-pm-kisan-income-maharashtra,PM-Kisan Income Support - Maharashtra,Direct income support for eligible farmer families to help meet seasonal agricultural and household expenses. This record is tailored for applicants in Maharashtra and keeps the same frontend-ready structure expected by the app.,Agriculture,Maharashtra,Small and marginal farmer families with valid land records and Aadhaar-linked bank accounts.,"{""Income support installment"",""DBT transfer"",""Seasonal cash flow assistance""}",Direct Cash,active,Ministry of Agriculture and Farmers Welfare,"Rs. 6,000 per year",Open throughout the year,https://www.india.gov.in/pm-kisan-income-support/maharashtra
seed-pm-kisan-income-manipur,PM-Kisan Income Support - Manipur,Direct income support for eligible farmer families to help meet seasonal agricultural and household expenses. This record is tailored for applicants in Manipur and keeps the same frontend-ready structure expected by the app.,Agriculture,Manipur,Small and marginal farmer families with valid land records and Aadhaar-linked bank accounts.,"{""Income support installment"",""DBT transfer"",""Seasonal cash flow assistance""}",Direct Cash,active,Ministry of Agriculture and Farmers Welfare,"Rs. 6,000 per year",Open throughout the year,https://www.india.gov.in/pm-kisan-income-support/manipur
seed-pm-kisan-income-meghalaya,PM-Kisan Income Support - Meghalaya,Direct income support for eligible farmer families to help meet seasonal agricultural and household expenses. This record is tailored for applicants in Meghalaya and keeps the same frontend-ready structure expected by the app.,Agriculture,Meghalaya,Small and marginal farmer families with valid land records and Aadhaar-linked bank accounts.,"{""Income support installment"",""DBT transfer"",""Seasonal cash flow assistance""}",Direct Cash,active,Ministry of Agriculture and Farmers Welfare,"Rs. 6,000 per year",Open throughout the year,https://www.india.gov.in/pm-kisan-income-support/meghalaya
seed-pm-kisan-income-mizoram,PM-Kisan Income Support - Mizoram,Direct income support for eligible farmer families to help meet seasonal agricultural and household expenses. This record is tailored for applicants in Mizoram and keeps the same frontend-ready structure expected by the app.,Agriculture,Mizoram,Small and marginal farmer families with valid land records and Aadhaar-linked bank accounts.,"{""Income support installment"",""DBT transfer"",""Seasonal cash flow assistance""}",Direct Cash,active,Ministry of Agriculture and Farmers Welfare,"Rs. 6,000 per year",Open throughout the year,https://www.india.gov.in/pm-kisan-income-support/mizoram
seed-pm-kisan-income-nagaland,PM-Kisan Income Support - Nagaland,Direct income support for eligible farmer families to help meet seasonal agricultural and household expenses. This record is tailored for applicants in Nagaland and keeps the same frontend-ready structure expected by the app.,Agriculture,Nagaland,Small and marginal farmer families with valid land records and Aadhaar-linked bank accounts.,"{""Income support installment"",""DBT transfer"",""Seasonal cash flow assistance""}",Direct Cash,active,Ministry of Agriculture and Farmers Welfare,"Rs. 6,000 per year",Open throughout the year,https://www.india.gov.in/pm-kisan-income-support/nagaland
seed-pm-kisan-income-odisha,PM-Kisan Income Support - Odisha,Direct income support for eligible farmer families to help meet seasonal agricultural and household expenses. This record is tailored for applicants in Odisha and keeps the same frontend-ready structure expected by the app.,Agriculture,Odisha,Small and marginal farmer families with valid land records and Aadhaar-linked bank accounts.,"{""Income support installment"",""DBT transfer"",""Seasonal cash flow assistance""}",Direct Cash,active,Ministry of Agriculture and Farmers Welfare,"Rs. 6,000 per year",Open throughout the year,https://www.india.gov.in/pm-kisan-income-support/odisha
seed-pm-kisan-income-punjab,PM-Kisan Income Support - Punjab,Direct income support for eligible farmer families to help meet seasonal agricultural and household expenses. This record is tailored for applicants in Punjab and keeps the same frontend-ready structure expected by the app.,Agriculture,Punjab,Small and marginal farmer families with valid land records and Aadhaar-linked bank accounts.,"{""Income support installment"",""DBT transfer"",""Seasonal cash flow assistance""}",Direct Cash,active,Ministry of Agriculture and Farmers Welfare,"Rs. 6,000 per year",Open throughout the year,https://www.india.gov.in/pm-kisan-income-support/punjab
seed-pm-kisan-income-rajasthan,PM-Kisan Income Support - Rajasthan,Direct income support for eligible farmer families to help meet seasonal agricultural and household expenses. This record is tailored for applicants in Rajasthan and keeps the same frontend-ready structure expected by the app.,Agriculture,Rajasthan,Small and marginal farmer families with valid land records and Aadhaar-linked bank accounts.,"{""Income support installment"",""DBT transfer"",""Seasonal cash flow assistance""}",Direct Cash,active,Ministry of Agriculture and Farmers Welfare,"Rs. 6,000 per year",Open throughout the year,https://www.india.gov.in/pm-kisan-income-support/rajasthan
seed-pm-kisan-income-sikkim,PM-Kisan Income Support - Sikkim,Direct income support for eligible farmer families to help meet seasonal agricultural and household expenses. This record is tailored for applicants in Sikkim and keeps the same frontend-ready structure expected by the app.,Agriculture,Sikkim,Small and marginal farmer families with valid land records and Aadhaar-linked bank accounts.,"{""Income support installment"",""DBT transfer"",""Seasonal cash flow assistance""}",Direct Cash,active,Ministry of Agriculture and Farmers Welfare,"Rs. 6,000 per year",Open throughout the year,https://www.india.gov.in/pm-kisan-income-support/sikkim
seed-pm-kisan-income-tamil-nadu,PM-Kisan Income Support - Tamil Nadu,Direct income support for eligible farmer families to help meet seasonal agricultural and household expenses. This record is tailored for applicants in Tamil Nadu and keeps the same frontend-ready structure expected by the app.,Agriculture,Tamil Nadu,Small and marginal farmer families with valid land records and Aadhaar-linked bank accounts.,"{""Income support installment"",""DBT transfer"",""Seasonal cash flow assistance""}",Direct Cash,active,Ministry of Agriculture and Farmers Welfare,"Rs. 6,000 per year",Open throughout the year,https://www.india.gov.in/pm-kisan-income-support/tamil-nadu
seed-pm-kisan-income-telangana,PM-Kisan Income Support - Telangana,Direct income support for eligible farmer families to help meet seasonal agricultural and household expenses. This record is tailored for applicants in Telangana and keeps the same frontend-ready structure expected by the app.,Agriculture,Telangana,Small and marginal farmer families with valid land records and Aadhaar-linked bank accounts.,"{""Income support installment"",""DBT transfer"",""Seasonal cash flow assistance""}",Direct Cash,active,Ministry of Agriculture and Farmers Welfare,"Rs. 6,000 per year",Open throughout the year,https://www.india.gov.in/pm-kisan-income-support/telangana
seed-pm-kisan-income-tripura,PM-Kisan Income Support - Tripura,Direct income support for eligible farmer families to help meet seasonal agricultural and household expenses. This record is tailored for applicants in Tripura and keeps the same frontend-ready structure expected by the app.,Agriculture,Tripura,Small and marginal farmer families with valid land records and Aadhaar-linked bank accounts.,"{""Income support installment"",""DBT transfer"",""Seasonal cash flow assistance""}",Direct Cash,active,Ministry of Agriculture and Farmers Welfare,"Rs. 6,000 per year",Open throughout the year,https://www.india.gov.in/pm-kisan-income-support/tripura
seed-pm-kisan-income-uttar-pradesh,PM-Kisan Income Support - Uttar Pradesh,Direct income support for eligible farmer families to help meet seasonal agricultural and household expenses. This record is tailored for applicants in Uttar Pradesh and keeps the same frontend-ready structure expected by the app.,Agriculture,Uttar Pradesh,Small and marginal farmer families with valid land records and Aadhaar-linked bank accounts.,"{""Income support installment"",""DBT transfer"",""Seasonal cash flow assistance""}",Direct Cash,active,Ministry of Agriculture and Farmers Welfare,"Rs. 6,000 per year",Open throughout the year,https://www.india.gov.in/pm-kisan-income-support/uttar-pradesh
seed-pm-kisan-income-uttarakhand,PM-Kisan Income Support - Uttarakhand,Direct income support for eligible farmer families to help meet seasonal agricultural and household expenses. This record is tailored for applicants in Uttarakhand and keeps the same frontend-ready structure expected by the app.,Agriculture,Uttarakhand,Small and marginal farmer families with valid land records and Aadhaar-linked bank accounts.,"{""Income support installment"",""DBT transfer"",""Seasonal cash flow assistance""}",Direct Cash,active,Ministry of Agriculture and Farmers Welfare,"Rs. 6,000 per year",Open throughout the year,https://www.india.gov.in/pm-kisan-income-support/uttarakhand
seed-pm-kisan-income-west-bengal,PM-Kisan Income Support - West Bengal,Direct income support for eligible farmer families to help meet seasonal agricultural and household expenses. This record is tailored for applicants in West Bengal and keeps the same frontend-ready structure expected by the app.,Agriculture,West Bengal,Small and marginal farmer families with valid land records and Aadhaar-linked bank accounts.,"{""Income support installment"",""DBT transfer"",""Seasonal cash flow assistance""}",Direct Cash,active,Ministry of Agriculture and Farmers Welfare,"Rs. 6,000 per year",Open throughout the year,https://www.india.gov.in/pm-kisan-income-support/west-bengal
seed-pm-kisan-income-central,PM-Kisan Income Support - Central,Direct income support for eligible farmer families to help meet seasonal agricultural and household expenses. This record is tailored for applicants in Central and keeps the same frontend-ready structure expected by the app.,Agriculture,Central,Small and marginal farmer families with valid land records and Aadhaar-linked bank accounts.,"{""Income support installment"",""DBT transfer"",""Seasonal cash flow assistance""}",Direct Cash,active,Ministry of Agriculture and Farmers Welfare,"Rs. 6,000 per year",Open throughout the year,https://www.india.gov.in/pm-kisan-income-support/central
seed-micro-irrigation-andhra-pradesh,Micro Irrigation Mission - Andhra Pradesh,"Assistance for drip irrigation, sprinkler systems, fertigation units, and water-saving farm infrastructure. This record is tailored for applicants in Andhra Pradesh and keeps the same frontend-ready structure expected by the app.",Agriculture,Andhra Pradesh,"Farmers, FPOs, and cooperatives adopting approved micro-irrigation systems on cultivable land.","{""Drip irrigation subsidy"",""Sprinkler support"",""Water-use efficiency upgrade""}",Subsidies,active,Department of Agriculture and Farmers Welfare,40% to 70% project cost,31 March 2027,https://www.india.gov.in/micro-irrigation-mission/andhra-pradesh
seed-micro-irrigation-arunachal-pradesh,Micro Irrigation Mission - Arunachal Pradesh,"Assistance for drip irrigation, sprinkler systems, fertigation units, and water-saving farm infrastructure. This record is tailored for applicants in Arunachal Pradesh and keeps the same frontend-ready structure expected by the app.",Agriculture,Arunachal Pradesh,"Farmers, FPOs, and cooperatives adopting approved micro-irrigation systems on cultivable land.","{""Drip irrigation subsidy"",""Sprinkler support"",""Water-use efficiency upgrade""}",Subsidies,active,Department of Agriculture and Farmers Welfare,40% to 70% project cost,31 March 2027,https://www.india.gov.in/micro-irrigation-mission/arunachal-pradesh
seed-micro-irrigation-assam,Micro Irrigation Mission - Assam,"Assistance for drip irrigation, sprinkler systems, fertigation units, and water-saving farm infrastructure. This record is tailored for applicants in Assam and keeps the same frontend-ready structure expected by the app.",Agriculture,Assam,"Farmers, FPOs, and cooperatives adopting approved micro-irrigation systems on cultivable land.","{""Drip irrigation subsidy"",""Sprinkler support"",""Water-use efficiency upgrade""}",Subsidies,active,Department of Agriculture and Farmers Welfare,40% to 70% project cost,31 March 2027,https://www.india.gov.in/micro-irrigation-mission/assam
seed-micro-irrigation-bihar,Micro Irrigation Mission - Bihar,"Assistance for drip irrigation, sprinkler systems, fertigation units, and water-saving farm infrastructure. This record is tailored for applicants in Bihar and keeps the same frontend-ready structure expected by the app.",Agriculture,Bihar,"Farmers, FPOs, and cooperatives adopting approved micro-irrigation systems on cultivable land.","{""Drip irrigation subsidy"",""Sprinkler support"",""Water-use efficiency upgrade""}",Subsidies,active,Department of Agriculture and Farmers Welfare,40% to 70% project cost,31 March 2027,https://www.india.gov.in/micro-irrigation-mission/bihar
seed-micro-irrigation-chhattisgarh,Micro Irrigation Mission - Chhattisgarh,"Assistance for drip irrigation, sprinkler systems, fertigation units, and water-saving farm infrastructure. This record is tailored for applicants in Chhattisgarh and keeps the same frontend-ready structure expected by the app.",Agriculture,Chhattisgarh,"Farmers, FPOs, and cooperatives adopting approved micro-irrigation systems on cultivable land.","{""Drip irrigation subsidy"",""Sprinkler support"",""Water-use efficiency upgrade""}",Subsidies,active,Department of Agriculture and Farmers Welfare,40% to 70% project cost,31 March 2027,https://www.india.gov.in/micro-irrigation-mission/chhattisgarh
seed-micro-irrigation-goa,Micro Irrigation Mission - Goa,"Assistance for drip irrigation, sprinkler systems, fertigation units, and water-saving farm infrastructure. This record is tailored for applicants in Goa and keeps the same frontend-ready structure expected by the app.",Agriculture,Goa,"Farmers, FPOs, and cooperatives adopting approved micro-irrigation systems on cultivable land.","{""Drip irrigation subsidy"",""Sprinkler support"",""Water-use efficiency upgrade""}",Subsidies,active,Department of Agriculture and Farmers Welfare,40% to 70% project cost,31 March 2027,https://www.india.gov.in/micro-irrigation-mission/goa
seed-micro-irrigation-gujarat,Micro Irrigation Mission - Gujarat,"Assistance for drip irrigation, sprinkler systems, fertigation units, and water-saving farm infrastructure. This record is tailored for applicants in Gujarat and keeps the same frontend-ready structure expected by the app.",Agriculture,Gujarat,"Farmers, FPOs, and cooperatives adopting approved micro-irrigation systems on cultivable land.","{""Drip irrigation subsidy"",""Sprinkler support"",""Water-use efficiency upgrade""}",Subsidies,active,Department of Agriculture and Farmers Welfare,40% to 70% project cost,31 March 2027,https://www.india.gov.in/micro-irrigation-mission/gujarat
seed-micro-irrigation-haryana,Micro Irrigation Mission - Haryana,"Assistance for drip irrigation, sprinkler systems, fertigation units, and water-saving farm infrastructure. This record is tailored for applicants in Haryana and keeps the same frontend-ready structure expected by the app.",Agriculture,Haryana,"Farmers, FPOs, and cooperatives adopting approved micro-irrigation systems on cultivable land.","{""Drip irrigation subsidy"",""Sprinkler support"",""Water-use efficiency upgrade""}",Subsidies,active,Department of Agriculture and Farmers Welfare,40% to 70% project cost,31 March 2027,https://www.india.gov.in/micro-irrigation-mission/haryana
seed-micro-irrigation-himachal-pradesh,Micro Irrigation Mission - Himachal Pradesh,"Assistance for drip irrigation, sprinkler systems, fertigation units, and water-saving farm infrastructure. This record is tailored for applicants in Himachal Pradesh and keeps the same frontend-ready structure expected by the app.",Agriculture,Himachal Pradesh,"Farmers, FPOs, and cooperatives adopting approved micro-irrigation systems on cultivable land.","{""Drip irrigation subsidy"",""Sprinkler support"",""Water-use efficiency upgrade""}",Subsidies,active,Department of Agriculture and Farmers Welfare,40% to 70% project cost,31 March 2027,https://www.india.gov.in/micro-irrigation-mission/himachal-pradesh
seed-micro-irrigation-jharkhand,Micro Irrigation Mission - Jharkhand,"Assistance for drip irrigation, sprinkler systems, fertigation units, and water-saving farm infrastructure. This record is tailored for applicants in Jharkhand and keeps the same frontend-ready structure expected by the app.",Agriculture,Jharkhand,"Farmers, FPOs, and cooperatives adopting approved micro-irrigation systems on cultivable land.","{""Drip irrigation subsidy"",""Sprinkler support"",""Water-use efficiency upgrade""}",Subsidies,active,Department of Agriculture and Farmers Welfare,40% to 70% project cost,31 March 2027,https://www.india.gov.in/micro-irrigation-mission/jharkhand
seed-micro-irrigation-karnataka,Micro Irrigation Mission - Karnataka,"Assistance for drip irrigation, sprinkler systems, fertigation units, and water-saving farm infrastructure. This record is tailored for applicants in Karnataka and keeps the same frontend-ready structure expected by the app.",Agriculture,Karnataka,"Farmers, FPOs, and cooperatives adopting approved micro-irrigation systems on cultivable land.","{""Drip irrigation subsidy"",""Sprinkler support"",""Water-use efficiency upgrade""}",Subsidies,active,Department of Agriculture and Farmers Welfare,40% to 70% project cost,31 March 2027,https://www.india.gov.in/micro-irrigation-mission/karnataka
seed-micro-irrigation-kerala,Micro Irrigation Mission - Kerala,"Assistance for drip irrigation, sprinkler systems, fertigation units, and water-saving farm infrastructure. This record is tailored for applicants in Kerala and keeps the same frontend-ready structure expected by the app.",Agriculture,Kerala,"Farmers, FPOs, and cooperatives adopting approved micro-irrigation systems on cultivable land.","{""Drip irrigation subsidy"",""Sprinkler support"",""Water-use efficiency upgrade""}",Subsidies,active,Department of Agriculture and Farmers Welfare,40% to 70% project cost,31 March 2027,https://www.india.gov.in/micro-irrigation-mission/kerala
seed-micro-irrigation-madhya-pradesh,Micro Irrigation Mission - Madhya Pradesh,"Assistance for drip irrigation, sprinkler systems, fertigation units, and water-saving farm infrastructure. This record is tailored for applicants in Madhya Pradesh and keeps the same frontend-ready structure expected by the app.",Agriculture,Madhya Pradesh,"Farmers, FPOs, and cooperatives adopting approved micro-irrigation systems on cultivable land.","{""Drip irrigation subsidy"",""Sprinkler support"",""Water-use efficiency upgrade""}",Subsidies,active,Department of Agriculture and Farmers Welfare,40% to 70% project cost,31 March 2027,https://www.india.gov.in/micro-irrigation-mission/madhya-pradesh
seed-micro-irrigation-maharashtra,Micro Irrigation Mission - Maharashtra,"Assistance for drip irrigation, sprinkler systems, fertigation units, and water-saving farm infrastructure. This record is tailored for applicants in Maharashtra and keeps the same frontend-ready structure expected by the app.",Agriculture,Maharashtra,"Farmers, FPOs, and cooperatives adopting approved micro-irrigation systems on cultivable land.","{""Drip irrigation subsidy"",""Sprinkler support"",""Water-use efficiency upgrade""}",Subsidies,active,Department of Agriculture and Farmers Welfare,40% to 70% project cost,31 March 2027,https://www.india.gov.in/micro-irrigation-mission/maharashtra
seed-micro-irrigation-manipur,Micro Irrigation Mission - Manipur,"Assistance for drip irrigation, sprinkler systems, fertigation units, and water-saving farm infrastructure. This record is tailored for applicants in Manipur and keeps the same frontend-ready structure expected by the app.",Agriculture,Manipur,"Farmers, FPOs, and cooperatives adopting approved micro-irrigation systems on cultivable land.","{""Drip irrigation subsidy"",""Sprinkler support"",""Water-use efficiency upgrade""}",Subsidies,active,Department of Agriculture and Farmers Welfare,40% to 70% project cost,31 March 2027,https://www.india.gov.in/micro-irrigation-mission/manipur
seed-micro-irrigation-meghalaya,Micro Irrigation Mission - Meghalaya,"Assistance for drip irrigation, sprinkler systems, fertigation units, and water-saving farm infrastructure. This record is tailored for applicants in Meghalaya and keeps the same frontend-ready structure expected by the app.",Agriculture,Meghalaya,"Farmers, FPOs, and cooperatives adopting approved micro-irrigation systems on cultivable land.","{""Drip irrigation subsidy"",""Sprinkler support"",""Water-use efficiency upgrade""}",Subsidies,active,Department of Agriculture and Farmers Welfare,40% to 70% project cost,31 March 2027,https://www.india.gov.in/micro-irrigation-mission/meghalaya
seed-micro-irrigation-mizoram,Micro Irrigation Mission - Mizoram,"Assistance for drip irrigation, sprinkler systems, fertigation units, and water-saving farm infrastructure. This record is tailored for applicants in Mizoram and keeps the same frontend-ready structure expected by the app.",Agriculture,Mizoram,"Farmers, FPOs, and cooperatives adopting approved micro-irrigation systems on cultivable land.","{""Drip irrigation subsidy"",""Sprinkler support"",""Water-use efficiency upgrade""}",Subsidies,active,Department of Agriculture and Farmers Welfare,40% to 70% project cost,31 March 2027,https://www.india.gov.in/micro-irrigation-mission/mizoram
seed-micro-irrigation-nagaland,Micro Irrigation Mission - Nagaland,"Assistance for drip irrigation, sprinkler systems, fertigation units, and water-saving farm infrastructure. This record is tailored for applicants in Nagaland and keeps the same frontend-ready structure expected by the app.",Agriculture,Nagaland,"Farmers, FPOs, and cooperatives adopting approved micro-irrigation systems on cultivable land.","{""Drip irrigation subsidy"",""Sprinkler support"",""Water-use efficiency upgrade""}",Subsidies,active,Department of Agriculture and Farmers Welfare,40% to 70% project cost,31 March 2027,https://www.india.gov.in/micro-irrigation-mission/nagaland
seed-micro-irrigation-odisha,Micro Irrigation Mission - Odisha,"Assistance for drip irrigation, sprinkler systems, fertigation units, and water-saving farm infrastructure. This record is tailored for applicants in Odisha and keeps the same frontend-ready structure expected by the app.",Agriculture,Odisha,"Farmers, FPOs, and cooperatives adopting approved micro-irrigation systems on cultivable land.","{""Drip irrigation subsidy"",""Sprinkler support"",""Water-use efficiency upgrade""}",Subsidies,active,Department of Agriculture and Farmers Welfare,40% to 70% project cost,31 March 2027,https://www.india.gov.in/micro-irrigation-mission/odisha
seed-micro-irrigation-punjab,Micro Irrigation Mission - Punjab,"Assistance for drip irrigation, sprinkler systems, fertigation units, and water-saving farm infrastructure. This record is tailored for applicants in Punjab and keeps the same frontend-ready structure expected by the app.",Agriculture,Punjab,"Farmers, FPOs, and cooperatives adopting approved micro-irrigation systems on cultivable land.","{""Drip irrigation subsidy"",""Sprinkler support"",""Water-use efficiency upgrade""}",Subsidies,active,Department of Agriculture and Farmers Welfare,40% to 70% project cost,31 March 2027,https://www.india.gov.in/micro-irrigation-mission/punjab
seed-micro-irrigation-rajasthan,Micro Irrigation Mission - Rajasthan,"Assistance for drip irrigation, sprinkler systems, fertigation units, and water-saving farm infrastructure. This record is tailored for applicants in Rajasthan and keeps the same frontend-ready structure expected by the app.",Agriculture,Rajasthan,"Farmers, FPOs, and cooperatives adopting approved micro-irrigation systems on cultivable land.","{""Drip irrigation subsidy"",""Sprinkler support"",""Water-use efficiency upgrade""}",Subsidies,active,Department of Agriculture and Farmers Welfare,40% to 70% project cost,31 March 2027,https://www.india.gov.in/micro-irrigation-mission/rajasthan
seed-micro-irrigation-sikkim,Micro Irrigation Mission - Sikkim,"Assistance for drip irrigation, sprinkler systems, fertigation units, and water-saving farm infrastructure. This record is tailored for applicants in Sikkim and keeps the same frontend-ready structure expected by the app.",Agriculture,Sikkim,"Farmers, FPOs, and cooperatives adopting approved micro-irrigation systems on cultivable land.","{""Drip irrigation subsidy"",""Sprinkler support"",""Water-use efficiency upgrade""}",Subsidies,active,Department of Agriculture and Farmers Welfare,40% to 70% project cost,31 March 2027,https://www.india.gov.in/micro-irrigation-mission/sikkim
